is_ct,form_gap,pistol_rate_gap,call_early_winrate,call_mid_winrate,call_early_alive_end,call_mid_alive_end,call_early_future_kill,call_mid_future_kill,y,mtime,key,map,p_cal
0,0.4894633392781643,-0.042310996563573844,-0.0052218705957644,-0.05752855752996888,0.03344837125404526,0.06724114475250981,0.03586596616315402,-0.0007792424864571657,1,1778662727.5100648,hltv_2394147_107971_monte_vs_g2_m1_ancient,de_ancient,0.5426849871050212
1,0.4894633392781643,-0.042310996563573844,-0.0052218705957644,-0.05752855752996888,0.03344837125404526,0.06724114475250981,0.03586596616315402,-0.0007792424864571657,1,1778662727.5100648,hltv_2394147_107971_monte_vs_g2_m1_ancient,de_ancient,0.5330373435651276
1,0.4894633392781643,0.036163522012578664,-0.005615132992756178,0.08503471042894428,0.13063888105313098,0.2114917140088265,0.061782937208707145,0.08263334044497583,0,1778662735.2993798,hltv_2394147_107971_monte_vs_g2_m2_dust2,de_dust2,0.5245370978331089
0,0.4894633392781643,0.036163522012578664,-0.005615132992756178,0.08503471042894428,0.13063888105313098,0.2114917140088265,0.061782937208707145,0.08263334044497583,1,1778662735.2993798,hltv_2394147_107971_monte_vs_g2_m2_dust2,de_dust2,0.5350417151687585
1,0.016633959480441447,-0.09236026111791107,0.26655200857185213,0.07534354054581527,-0.0038870239403488993,0.003144896452516588,-0.030764880589934762,-0.009938945636792429,0,1778673809.0197887,hltv_2394148_107977_the_mongolz_vs_aurora_m2_mirage,de_mirage,0.4264243084487155
0,0.016633959480441447,-0.09236026111791107,0.26655200857185213,0.07534354054581527,-0.0038870239403488993,0.003144896452516588,-0.030764880589934762,-0.009938945636792429,0,1778673809.0197887,hltv_2394148_107977_the_mongolz_vs_aurora_m2_mirage,de_mirage,0.4382199381973848
0,0.027534395055468844,-0.11847415284094542,-0.0002772350744055796,0.02097335667589223,0.04345735717669763,0.11201848160708416,0.02631849048517665,0.037357291301151174,0,1778673818.1057541,hltv_2394148_107977_the_mongolz_vs_aurora_m1_overpass,de_overpass,0.45597783031565986
1,0.027534395055468844,-0.11847415284094542,-0.0002772350744055796,0.02097335667589223,0.04345735717669763,0.11201848160708416,0.02631849048517665,0.037357291301151174,1,1778673818.1057541,hltv_2394148_107977_the_mongolz_vs_aurora_m1_overpass,de_overpass,0.4433202767225419
0,-0.03078190591238207,-0.03386769022352676,0.05930762389503924,0.2807908228296208,-0.10416472198528942,-0.07584757901589406,-0.03170192611618711,-0.11437666196031876,1,1778688773.0,hltv_2394165_107988_b8_vs_fut_m1_ancient,de_ancient,0.45506152233497027
1,-0.03078190591238207,-0.03386769022352676,0.05930762389503924,0.2807908228296208,-0.10416472198528942,-0.07584757901589406,-0.03170192611618711,-0.11437666196031876,1,1778688773.0,hltv_2394165_107988_b8_vs_fut_m1_ancient,de_ancient,0.4427100498519392
1,-0.005995274986660824,0.008982863460475388,-0.00022706334800581818,0.0032030184556409713,-0.017632480312672172,-0.03787837189069737,-0.006604873153490842,0.0002907795304583072,0,1778693046.0,hltv_2394165_107988_b8_vs_fut_m2_overpass,de_overpass,0.5001495956830297
0,-0.005995274986660824,0.008982863460475388,-0.00022706334800581818,0.0032030184556409713,-0.017632480312672172,-0.03787837189069737,-0.006604873153490842,0.0002907795304583072,0,1778693046.0,hltv_2394165_107988_b8_vs_fut_m2_overpass,de_overpass,0.5099543574993332
0,0.3301599383063716,0.0010107292800497492,-0.11964855891242149,-0.13675049645388776,0.0230858635526503,0.04330622616636254,0.023214990459100304,0.0025987544911797444,0,1778693798.0,hltv_2394166_107989_faze_vs_vitality_m2_dust2,de_dust2,0.5739166965684952
1,0.3301599383063716,0.0010107292800497492,-0.11964855891242149,-0.13675049645388776,0.0230858635526503,0.04330622616636254,0.023214990459100304,0.0025987544911797444,0,1778693798.0,hltv_2394166_107989_faze_vs_vitality_m2_dust2,de_dust2,0.5624806577561144
0,0.0346986137301612,0.0703125,-0.07455643803715717,-0.08491718101146811,-0.08240631611385912,-0.12998156215751466,-0.05091698150726448,-0.05329140561118029,0,1778701546.0,hltv_2394168_107992_gamerlegion_vs_liquid_m2_nuke,de_nuke,0.54746331323123
1,0.0346986137301612,0.0703125,-0.07455643803715717,-0.08491718101146811,-0.08240631611385912,-0.12998156215751466,-0.05091698150726448,-0.05329140561118029,1,1778701546.0,hltv_2394168_107992_gamerlegion_vs_liquid_m2_nuke,de_nuke,0.5396365055928617
1,0.24621504752346765,0.03392991785388311,0.3178876807908357,0.3267359038149431,0.07188904887935049,0.08996599165334446,-0.0468382814398578,0.026079789529693143,1,1778706839.0,hltv_2394170_107998_b8_vs_vitality_m1_mirage,de_mirage,0.46387147483775965
0,0.24621504752346765,0.03392991785388311,0.3178876807908357,0.3267359038149431,0.07188904887935049,0.08996599165334446,-0.0468382814398578,0.026079789529693143,0,1778706839.0,hltv_2394170_107998_b8_vs_vitality_m1_mirage,de_mirage,0.4709761517933459
0,0.2673196518449569,0.03363812072554262,-0.00031982047974593586,-0.009988866778742223,0.10358856115716153,0.09933755227975094,0.06199099625386656,0.05276040894117684,1,1778710518.0,hltv_2394170_107998_b8_vs_vitality_m2_dust2,de_dust2,0.4756329905914376
1,0.2673196518449569,0.03363812072554262,-0.00031982047974593586,-0.009988866778742223,0.10358856115716153,0.09933755227975094,0.06199099625386656,0.05276040894117684,0,1778710518.0,hltv_2394170_107998_b8_vs_vitality_m2_dust2,de_dust2,0.46870504039540367
0,-0.43261121982719697,-0.10098176718092566,0.25150293714496386,0.30328297379580677,-0.03802421920907556,0.04219573884866268,-0.030407158984875504,0.02676356600139762,1,1778710955.0,hltv_2394169_107999_betboom_vs_pain_m2_nuke,de_nuke,0.35307751758478323
1,-0.43261121982719697,-0.10098176718092566,0.25150293714496386,0.30328297379580677,-0.03802421920907556,0.04219573884866268,-0.030407158984875504,0.02676356600139762,1,1778710955.0,hltv_2394169_107999_betboom_vs_pain_m2_nuke,de_nuke,0.3480106684738151
0,-0.11962563030859241,-0.14150943396226418,0.08088283710649641,-0.13602206652010185,0.02947307690808354,-0.026674688917794565,0.024545624487596562,0.024195041782958726,1,1778715231.0,hltv_2394172_108000_gamerlegion_vs_astralis_m1_mirage,de_mirage,0.4779601857868459
1,-0.11962563030859241,-0.14150943396226418,0.08088283710649641,-0.13602206652010185,0.02947307690808354,-0.026674688917794565,0.024545624487596562,0.024195041782958726,1,1778715231.0,hltv_2394172_108000_gamerlegion_vs_astralis_m1_mirage,de_mirage,0.4768680503880169
1,-0.26550414095376373,-0.012141405014682638,0.09876876326643524,0.12920349035054263,0.09813388508888893,0.06123358751488317,-0.021255901627313056,0.04495462354886842,1,1778718777.0,hltv_2394171_108002_natus_vincere_vs_legacy_m1_inferno,de_inferno,0.5066840017978468
0,-0.26550414095376373,-0.012141405014682638,0.09876876326643524,0.12920349035054263,0.09813388508888893,0.06123358751488317,-0.021255901627313056,0.04495462354886842,1,1778718777.0,hltv_2394171_108002_natus_vincere_vs_legacy_m1_inferno,de_inferno,0.5062488141097036
