event_id,round_num,streak_team,fade_team,kill_count,event_start_ts,decision_ts,entry_quote_ts,reaction_mid_change,reaction_threshold,triggered,entry_ask,timing_basis,horizon_seconds,exit_quote_ts,exit_bid,gross_pnl,net_pnl
26,20,MOUZ,NRG,2,1789641536.289,1789641541.329,1789641552.2893586,-0.010000000000000009,0.03,False,0.63,source_update_version,30.0,1789641585.8346624,0.62,-0.010000000000000009,-0.033435000000000006
26,20,MOUZ,NRG,2,1789641536.289,1789641541.329,1789641552.2893586,-0.010000000000000009,0.03,False,0.63,source_update_version,60.0,1789641612.6090662,0.59,-0.040000000000000036,-0.06375000000000003
26,20,MOUZ,NRG,2,1789641536.289,1789641541.329,1789641552.2893586,-0.010000000000000009,0.03,False,0.63,source_update_version,120.0,1789641678.9925811,0.53,-0.09999999999999998,-0.12410999999999997
27,22,MOUZ,NRG,2,1789641802.489,1789641806.336,1789641808.373506,0.03500000000000003,0.03,True,0.36,source_update_version,15.0,1789641826.9978375,0.34,-0.019999999999999962,-0.042739999999999966
27,22,MOUZ,NRG,2,1789641802.489,1789641806.336,1789641808.373506,0.03500000000000003,0.03,True,0.36,source_update_version,30.0,1789641845.0102458,0.35,-0.010000000000000009,-0.03289500000000001
27,22,MOUZ,NRG,2,1789641802.489,1789641806.336,1789641808.373506,0.03500000000000003,0.03,True,0.36,source_update_version,60.0,1789641868.491287,0.43,0.07,0.046225
27,22,MOUZ,NRG,2,1789641802.489,1789641806.336,1789641808.373506,0.03500000000000003,0.03,True,0.36,source_update_version,120.0,1789641928.4086194,0.61,0.25,0.226585
28,23,NRG,MOUZ,2,1789641908.827,1789641910.06,1789641914.5588706,-0.0050000000000000044,0.03,False,0.37,source_update_version,15.0,1789641931.4256454,0.36,-0.010000000000000009,-0.03317500000000001
28,23,NRG,MOUZ,2,1789641908.827,1789641910.06,1789641914.5588706,-0.0050000000000000044,0.03,False,0.37,source_update_version,30.0,1789641945.7887626,0.32,-0.04999999999999999,-0.07253499999999999
28,23,NRG,MOUZ,2,1789641908.827,1789641910.06,1789641914.5588706,-0.0050000000000000044,0.03,False,0.37,source_update_version,60.0,1789641974.8924403,0.35,-0.020000000000000018,-0.04303000000000001
28,23,NRG,MOUZ,2,1789641908.827,1789641910.06,1789641914.5588706,-0.0050000000000000044,0.03,False,0.37,source_update_version,120.0,1789642034.5880554,0.36,-0.010000000000000009,-0.03317500000000001
30,24,MOUZ,NRG,2,1789642118.488,1789642118.718,1789642122.4050817,0.0,0.03,False,1.0,source_update_version,15.0,1789642141.0712512,0.99,-0.010000000000000009,-0.01049500000000001
30,24,MOUZ,NRG,2,1789642118.488,1789642118.718,1789642122.4050817,0.0,0.03,False,1.0,source_update_version,30.0,1789642157.1084576,0.99,-0.010000000000000009,-0.01049500000000001
30,24,MOUZ,NRG,2,1789642118.488,1789642118.718,1789642122.4050817,0.0,0.03,False,1.0,source_update_version,60.0,1789642184.051847,0.99,-0.010000000000000009,-0.01049500000000001
30,24,MOUZ,NRG,2,1789642118.488,1789642118.718,1789642122.4050817,0.0,0.03,False,1.0,source_update_version,120.0,1789642242.97269,0.999,-0.0010000000000000009,-0.0010499500000000009
